ID|date|tweet
585942799561928704|Wed Apr 08 23:10:24 +0000 2015|Injury prevention programs unpopular with high school coaches http://ow.ly/Lma9z
585934004089683969|Wed Apr 08 22:35:27 +0000 2015|6 dietary changes to make midlife http://ow.ly/LlYfl
585926494054195201|Wed Apr 08 22:05:36 +0000 2015|Massachusetts governor gets head shaved to support charity  http://ow.ly/LlLI3
585921515922788354|Wed Apr 08 21:45:49 +0000 2015|Dad wins 3 marathons in 8 days; winnings to help ailing son http://ow.ly/LlLyZ
585915150449934338|Wed Apr 08 21:20:32 +0000 2015|Possible cure for melanoma? http://ow.ly/LlLg8
585907587335487490|Wed Apr 08 20:50:29 +0000 2015|Wear orange glasses to get better sleep, study says http://ow.ly/LlL69
585896210034270208|Wed Apr 08 20:05:16 +0000 2015|Utah girl, 17, has rare allergy to water http://ow.ly/LlKYU
585891135773630464|Wed Apr 08 19:45:06 +0000 2015|Higher purpose in life tied to better brain health  http://ow.ly/LlmOO
585884914232459264|Wed Apr 08 19:20:23 +0000 2015|Kids may be more likely to use customized playgrounds  http://ow.ly/LlmKx
585879847223820288|Wed Apr 08 19:00:15 +0000 2015|Marijuana harvested for medical use in Chile  http://ow.ly/Llmaj
585871024282931201|Wed Apr 08 18:25:11 +0000 2015|Museums offer array of programs for the disabled  http://ow.ly/LllIf
585866003378212864|Wed Apr 08 18:05:14 +0000 2015|Girl born with heart on wrong side of body prepares for 8th birthday   http://ow.ly/LllF0
585857368912695296|Wed Apr 08 17:30:56 +0000 2015|Boy gets food allergies from blood transfusion  http://ow.ly/LllBM
585848460521431040|Wed Apr 08 16:55:32 +0000 2015|Chinese citizens sue government over transparency on Monsanto herbicide  http://ow.ly/Lllze
585843414710820866|Wed Apr 08 16:35:29 +0000 2015|'Princess Lacey' tribute begins again for Michigan State University campus rock  http://ow.ly/LllvX
585840623409885185|Wed Apr 08 16:24:23 +0000 2015|Answering personal questions activates unique brain activity pattern, study suggests http://ow.ly/LlRmW via @mindyC_
585839557016477697|Wed Apr 08 16:20:09 +0000 2015|Kailahun Ebola case report was a mistake, says Sierra Leone  http://ow.ly/LllsI
585832122163802112|Wed Apr 08 15:50:36 +0000 2015|Minnesota bird flu cases rise as investigators arrive  http://ow.ly/LllpI
585822060733149184|Wed Apr 08 15:10:37 +0000 2015|Erectile dysfunction drugs vary in effectiveness, side effects  http://ow.ly/LlllW
585815671692460032|Wed Apr 08 14:45:14 +0000 2015|Blue Bell expands recall of ice cream made at Oklahoma plant http://ow.ly/LllhY
585808294679285760|Wed Apr 08 14:15:55 +0000 2015|Interactive rehabilitation device restores vet’s use of hand after stroke http://ow.ly/Lllah via @EditorNicoleK
585804904796712960|Wed Apr 08 14:02:27 +0000 2015|BurnThis app: Share fitness photos to stay motivated  http://ow.ly/LlkWI
585798211350192128|Wed Apr 08 13:35:51 +0000 2015|Little-known neurological condition causes uncontrollable crying, laughter http://ow.ly/Llc4n #PBAFilm @PBAInfo
585582938613538816|Tue Apr 07 23:20:26 +0000 2015|US ambassador using bionic hand to help recover after knife attack http://ow.ly/Ljqd1
585576560981368834|Tue Apr 07 22:55:06 +0000 2015|More teens using long-term birth control http://ow.ly/LjeGL
585567876368695297|Tue Apr 07 22:20:35 +0000 2015|‘I wasn’t going to give up’: Wife of man debilitated by accident hopeful for recovery after 4 years http://ow.ly/LiUWe
585560278303145984|Tue Apr 07 21:50:24 +0000 2015|Teen artist is trapped in toddler's body  http://ow.ly/LiUSJ
585552667197440001|Tue Apr 07 21:20:09 +0000 2015|US Ebola patient's condition improves to good  http://ow.ly/LiUQ7
585547776672542721|Tue Apr 07 21:00:43 +0000 2015|Listing patients as 'next of kin' at hospitals may cause legal confusion  http://ow.ly/LiUMG
585541381600456704|Tue Apr 07 20:35:18 +0000 2015|Some supplements on market contain untested stimulant  http://ow.ly/LiCJS
585533871011323904|Tue Apr 07 20:05:28 +0000 2015|Lauren Hill's cancer leaves her weak, but still fighting http://ow.ly/LiCDd
585527604276518912|Tue Apr 07 19:40:34 +0000 2015|Study finds risk of breast, ovarian cancer dependent on type of BRCA1 or BRCA2 mutation  http://ow.ly/LiCwz via @AHLex3889
585520102172450818|Tue Apr 07 19:10:45 +0000 2015|Remove financial barriers to organ donation, experts say  http://ow.ly/LiCs4
585513794425774080|Tue Apr 07 18:45:41 +0000 2015|For some elderly, unclogging leg arteries doesn't improve mobility  http://ow.ly/LiCmF
585507375655817217|Tue Apr 07 18:20:11 +0000 2015|Skin cancer removal with miniaturized radiation  http://ow.ly/LiCiC
585501064595660800|Tue Apr 07 17:55:06 +0000 2015|Near-death experiences: What happens in the brain before dying   http://ow.ly/LiCeE
585494791233921025|Tue Apr 07 17:30:10 +0000 2015|Tuberculosis testing interrupts Ohio school's spring break http://ow.ly/LigQS
585489839866454016|Tue Apr 07 17:10:30 +0000 2015|Study finds breast cancer overtreatment costs US $4B per year  http://ow.ly/LigiQ
585483604148543491|Tue Apr 07 16:45:43 +0000 2015|Maggot infestation saves man’s life http://ow.ly/Lig2W
585477282120237056|Tue Apr 07 16:20:36 +0000 2015|After losing daughter, California mom vows to raise awareness of deadly amoeba   http://ow.ly/LidGT
585472820286742529|Tue Apr 07 16:02:52 +0000 2015|Rare canine flu outbreak in Chicago kills 5 dogs http://ow.ly/LidDJ
585465836573478912|Tue Apr 07 15:35:07 +0000 2015|Coaching Lauren: Dying player's coach reflects on year http://ow.ly/LidzD
585458301980254208|Tue Apr 07 15:05:11 +0000 2015|Brain scans may identify concussion-related disease, study says http://ow.ly/LiduS
585452039041327104|Tue Apr 07 14:40:17 +0000 2015|Most commercial weight loss programs aren’t backed by scientific evidence, study says  http://ow.ly/Lidmt via @mindyC_
585444446671601665|Tue Apr 07 14:10:07 +0000 2015|Little-known neurological condition causes uncontrollable crying, laughter http://ow.ly/LicX5
585439414941253633|Tue Apr 07 13:50:08 +0000 2015|Super-healthy, diet-friendly seafood http://ow.ly/LicMo
585435360123039744|Tue Apr 07 13:34:01 +0000 2015|5 ways your commute is hurting your health   http://ow.ly/LicJy
585219331568623616|Mon Apr 06 23:15:36 +0000 2015|Rare condition causes girl, 4, to be addicted to eating carpet  http://ow.ly/Lghqn
585214180363526144|Mon Apr 06 22:55:08 +0000 2015|North Carolina families raising funds for rare disease research to save baby boys  http://ow.ly/Lghiy
