CLUB,x1_GSH,x1_GSA,x1_SSH,x1_SSA,x2_GCH,x2_GCA,x2_CSH,x2_CSA,y_WMH,y_WMA,y_LWR,y_LRWR,YC,RC
Barcelona,61.0,44.0,1.0,1.0,14.0,21.0,0.5,0.3,14.0,13.0,10.0,22.0,76.0,6
RealMadrid,49.0,34.0,1.0,0.8,29.0,23.0,0.4,0.4,14.0,11.0,10.0,18.0,115.0,9
Sevilla,28.0,26.0,0.7,0.7,20.0,19.0,0.4,0.5,11.0,10.0,4.0,7.0,100.0,8
AtleMadrid,47.0,33.0,1.0,0.8,23.0,34.0,0.4,0.2,13.0,7.0,6.0,9.0,116.0,5
Villarreal,33.0,28.0,0.8,0.7,25.0,29.0,0.3,0.2,12.0,6.0,5.0,11.0,102.0,5
Valencia,47.0,21.0,1.0,0.7,26.0,28.0,0.3,0.3,12.0,6.0,5.0,8.0,120.0,6
Depor,30.0,18.0,0.8,0.6,18.0,29.0,0.4,0.3,10.0,6.0,3.0,6.0,87.0,4
Malaga,28.0,27.0,0.8,0.7,23.0,36.0,0.3,0.2,8.0,7.0,4.0,6.0,96.0,6
Mallorca,33.0,20.0,0.8,0.6,24.0,36.0,0.3,0.2,9.0,5.0,3.0,7.0,119.0,6
Espanyol,28.0,18.0,0.8,0.6,22.0,27.0,0.4,0.2,8.0,4.0,4.0,6.0,110.0,5
Almeria,27.0,18.0,0.8,0.6,20.0,41.0,0.2,0.1,11.0,2.0,3.0,4.0,97.0,11
RacingStder,28.0,21.0,0.8,0.7,22.0,26.0,0.2,0.3,5.0,7.0,2.0,7.0,134.0,9
AthleticBil,28.0,19.0,0.8,0.7,29.0,33.0,0.3,0.1,9.0,3.0,2.0,7.0,115.0,13
Sporting,24.0,23.0,0.7,0.7,37.0,42.0,0.1,0.2,8.0,6.0,4.0,4.0,117.0,5
Osasuna,27.0,14.0,0.7,0.5,22.0,25.0,0.4,0.3,8.0,4.0,3.0,6.0,104.0,8
Valladolid,22.0,24.0,0.7,0.6,17.0,41.0,0.4,0.1,8.0,2.0,3.0,5.0,87.0,9
Getafe,27.0,33.0,0.7,0.9,23.0,33.0,0.2,0.1,7.0,3.0,1.0,5.0,125.0,7
Betis,24.0,27.0,0.7,0.7,25.0,33.0,0.3,0.1,4.0,6.0,3.0,7.0,105.0,9
Numancia,23.0,15.0,0.7,0.4,22.0,47.0,0.3,0.1,9.0,1.0,1.0,3.0,103.0,9
Recreativo,17.0,17.0,0.6,0.7,29.0,28.0,0.2,0.1,4.0,4.0,2.0,5.0,101.0,6
